 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
2603,349,73,94.479,190.585,0,1.925,1.298,2.145,3.927,7.829,0.023
2604,349,74,95.003,190.668,0,1.366,1.369,2.392,4.678,10.036,0.060
2605,349,75,94.839,190.879,0,1.681,1.497,2.795,5.778,12.902,0.029
2606,350,40,111.367,206.490,0,1.296,1.311,2.229,4.262,8.985,0.088
2607,350,41,111.465,206.496,0,1.398,1.335,2.248,4.215,8.652,0.056
2608,351,40,174.301,228.764,0,1.624,1.282,2.066,3.662,7.017,0.042
2609,351,41,174.762,228.605,0,1.868,1.211,1.861,3.138,5.720,0.018
2610,351,42,175.298,228.765,0,2.217,1.289,2.100,3.770,7.325,0.016
2611,351,43,174.195,229.016,0,1.717,1.290,2.116,3.824,7.466,0.048
2612,351,44,174.657,228.731,0,1.318,1.224,1.919,3.335,6.351,0.045
2613,351,45,174.546,228.714,0,1.392,1.190,1.790,2.947,5.241,0.032
2614,351,46,175.095,228.785,0,2.148,1.281,2.073,3.704,7.180,0.017
2615,351,47,174.937,228.569,0,1.507,1.372,2.387,4.601,9.605,0.067
2616,351,48,174.989,228.456,0,1.251,1.360,2.390,4.752,10.461,0.086
2617,351,49,175.136,228.423,0,2.230,1.302,2.136,3.857,7.519,0.024
2618,351,50,174.967,228.709,0,2.312,1.327,2.222,4.099,8.159,0.031
2619,351,51,174.769,228.512,0,1.950,1.297,2.149,3.946,7.882,0.048
2620,351,52,175.223,228.554,0,1.685,1.341,2.283,4.317,8.881,0.060
2621,351,53,174.867,228.594,0,1.995,1.270,2.039,3.597,6.852,0.017
2622,351,54,175.259,228.848,0,1.943,1.363,2.350,4.493,9.337,0.091
2623,351,55,174.764,228.707,0,2.224,1.274,2.035,3.565,6.743,0.017
2624,351,56,174.622,228.935,0,1.738,1.280,2.073,3.692,7.099,0.031
2625,351,57,174.787,228.785,0,2.610,1.361,2.307,4.280,8.519,0.021
2626,351,58,175.120,228.702,0,1.657,1.244,1.986,3.523,6.849,0.023
2627,351,59,175.365,228.722,0,2.025,1.264,2.003,3.470,6.453,0.031
2628,351,60,175.094,228.485,0,1.820,1.444,2.619,5.253,11.399,0.054
2629,351,61,174.766,228.298,0,1.470,1.327,2.253,4.281,8.946,0.033
2630,351,62,174.767,228.577,0,1.445,1.247,1.956,3.359,6.203,0.037
2631,352,40,246.975,292.517,0,1.613,1.309,2.203,4.141,8.538,0.053
2632,352,41,244.078,296.831,0,1.097,1.406,2.561,5.246,11.761,0.086
2633,352,42,244.450,296.652,0,0.842,1.196,1.841,3.142,5.869,0.018
2634,353,41,144.771,130.618,0,1.242,1.484,2.751,5.654,12.582,0.078
2635,353,42,144.359,129.945,0,1.255,1.382,2.416,4.699,9.968,0.117
2636,353,43,144.737,131.441,0,1.903,1.372,2.359,4.510,9.400,0.029
2637,353,44,144.352,131.781,0,1.447,1.255,1.993,3.498,6.682,0.036
2638,353,45,144.318,131.605,0,1.824,1.554,2.946,6.145,13.785,0.020
2639,353,46,144.468,131.103,0,2.176,1.522,2.838,5.839,12.958,0.016
2640,353,47,144.486,131.332,0,2.078,1.374,2.380,4.601,9.721,0.061
2641,353,48,144.155,131.676,0,1.810,1.373,2.333,4.343,8.685,0.055
2642,353,49,144.687,131.833,0,1.865,1.388,2.416,4.662,9.772,0.068
2643,353,50,145.222,131.682,0,2.396,1.346,2.252,4.126,8.117,0.034
2644,353,51,144.710,131.603,0,1.838,1.298,2.113,3.793,7.380,0.039
2645,353,52,145.410,131.662,0,1.957,1.336,2.214,4.015,7.824,0.018
2646,353,53,145.399,132.396,0,1.500,1.432,2.548,4.993,10.538,0.048
2647,353,54,144.941,131.685,0,1.453,1.428,2.568,5.155,11.283,0.049
2648,353,55,144.639,131.468,0,2.142,1.434,2.589,5.205,11.399,0.040
2649,353,56,144.698,131.642,0,1.929,1.423,2.575,5.218,11.564,0.045
2650,353,57,144.742,131.486,0,2.215,1.463,2.695,5.509,12.204,0.030
2651,353,58,145.055,131.693,0,1.731,1.424,2.554,5.097,11.074,0.070
